CHGB|1114,CYP11B1|1584,DLG2|1740,ETV4|2118,GDF10|2662,HSPB7|27129,MYEOV|26579,SYN2|6854,CL
418.6047,81290.1691,187.6321,71.3531,3.1712,1354.6512,32.7696,104.6512,0
14351.1742,302746.5866,623.7029,48.6073,6.0076,4108.1376,3.2769,1127.2529,0
10147.9347,3094.1402,70.6052,23.5351,79.731,1622.4784,5.2834,18.2517,0
10926.3813,31469.7082,25.4777,107.2434,46.2154,1498.4447,3.555,23.1077,0
2635.9411,1068.1642,20.1394,353.2146,221.5337,216.8861,0.7746,305.1898,0
1083.0643,201266.6487,9.5006,1.1177,0,869.581,1.1177,151.4502,0
3492.1781,53464.0995,59.3662,54.5527,2.8079,11.2314,38.9089,14.4404,0
122.2545,13.2615,2.0721,505.1803,5.8019,3.7298,0.4144,42.271,0
8120.7678,36.7179,13.9392,277.4239,115.5933,183.5893,20.7388,228.8067,0
7646.8447,23313.1068,137.1359,111.0437,0.6068,3113.4709,0.6068,1481.1893,0
47420.2489,56709.276,37.3303,396.4932,3.9593,248.8688,25.4525,6.7873,0
7704.6047,7737.4264,49.4256,261.0291,12.7425,113.9106,56.7622,303.5042,0
23415.3562,8179.4635,264.5698,7.4006,4.6253,941.7206,0,2362.6272,0
880.902,2658.21,54.0287,143.2934,1.8793,1027.4841,32.4172,9.8661,0
1417.8175,3548.863,25.376,14.5777,0,2136.9846,2.6996,7.5588,0
3291.6118,4452.7888,63.2411,173.0347,33.8164,518.2257,5.7093,1760.2108,0
43468.0999,35658.8036,173.9823,11.5457,0.7963,377.4261,0,2404.6979,0
31399.5305,457257.277,902.3474,0.4695,7.0423,9279.8122,0,3661.9718,0
1890.492,93402.1458,35.1461,708.4721,2.2198,148.3537,1.8498,3.3296,0
12202.2978,2376.8803,334.0045,3.3164,0,6969.0868,1.4213,3189.8614,0
22538.9408,4984.4237,25.4413,2.0768,1.0384,2603.3229,9.3458,1376.4278,0
2668.2756,1562.9662,38.1746,171.5665,3.0715,15.7964,3.5103,16.674,0
41139.6141,8184.2063,73.9419,186.1521,49.2946,1168.1531,1.2972,758.8779,0
15072.3762,148749.6222,1262.1327,2.0151,0,9436.7758,0,1522.0823,0
80264.1631,204974.7699,937.4062,3.3124,2.4843,4196.7973,0.8281,384.2372,0
18003.8868,1368.171,81.192,66.5083,5.1825,185.705,95.0119,29.3673,0
11796.8952,262.6132,630.0129,5.1746,1.2937,1750.3234,1.2937,226.3907,0
25652.9924,22121.623,398.9108,0.5603,1.6808,4050.7379,0,1103.728,0
824.5292,21976.5733,4.5935,695.4525,6.8902,2425.356,36.7478,90.0322,0
372.5391,42485.1085,15.6487,426.0475,33.3165,123.1701,45.4316,6.0575,0
12042.09,9298.984,40.6386,175.6168,23.2221,78.3745,4.3541,313.4978,0
4498.241,143270.0088,12.3131,187.3351,8.7951,936.6755,0,0,0
1187.8613,88672.447,69.3642,11.5607,45.2794,793.8343,0.9634,61.657,0
26228.3685,1303.6816,92.693,43.3564,8.9703,5666.2306,32.891,633.1527,0
5642.1134,54403.7794,19.6683,78.6734,33.1662,494.0224,0,169.302,0
2964.7631,40788.9834,93.4251,132.3073,2.7001,2298.3664,39.9622,5.4003,0
4753.8241,330.3059,379.5411,20.5545,0,994.2639,7.1702,153.9197,0
22176.3636,4867.8788,4.8485,35.7576,0.6061,459.3939,0,3.0303,0
398.4375,231344.8661,127.2321,120.5357,2.2321,157.3661,4.4643,14.5089,0
8506.4728,102623.1601,36.886,23.4084,2.128,6940.2376,0.7093,22.6991,0
10332.7103,46504.6729,420.5607,5.6075,1.8692,1214.9533,1.8692,433.6449,0
4277.7334,4993.6153,164.8045,695.1317,1248.2043,213.0886,15.5626,78.2123,0
12962.3656,25736.5591,344.086,10.7527,16.129,3602.1505,0,220.4301,0
22003.5492,43476.4862,184.5608,23.9574,2.6619,3732.0319,2.6619,406.3886,0
514.2469,502.0353,21.7096,20.3528,1.3569,2525.1018,1.3569,616.0109,0
817.3834,51774.9951,12.9158,533.8516,483.4186,801.3924,56.5833,0,0
5152.9974,102571.2661,29.1207,220.6802,102.3774,1293.1407,2.2751,13.1953,0
22933.5143,3277.341,101.4184,7.8727,28.712,1533.7789,2.3155,665.9342,0
12159.322,198.3051,184.7458,3.3898,0,14091.5254,6.7797,488.1356,0
7563.3318,69813.6683,44.265,92.7172,2.9909,963.6608,0,1.1964,0
2651.6584,35.4195,40.8225,271.3492,8.4046,246.7357,1.2007,177.0974,0
6427.7457,485382.659,68.2081,10.4046,0,1470.5202,1.1561,726.0116,0
14161.4608,125.4205,63.9116,1008.6497,238.3469,44.6901,0,568.4767,0
30998.5609,96944.8809,1760.3903,12.3412,2.2038,10560.579,7.4929,472.0526,0
113023.431,143130.5439,713.8075,46.8619,7.5314,8805.8577,0.8368,1066.9456,0
3223.4457,12.8748,36.5916,621.379,0,9.4867,5.421,269.0158,0
3616.4966,670.068,880.9524,5.9524,0,1901.3605,0.8503,975.3401,0
6219.0066,21015.2522,14.079,194.7595,236.9965,1311.3023,74.3058,46.1478,0
28110.4947,17272.307,377.7161,6.0102,2.3116,10574.2025,3.6986,28.2016,0
6996.877,198657.7139,40.5996,1.2492,0,1816.3648,1.8738,126.7958,0
3404.3444,75297.2171,8.3748,1.3958,0.6979,711.1576,1.7447,1.7447,0
41319.1841,4359.4267,138.3682,2.7563,0,2893.6053,1.1025,1857.7729,0
2057.5825,28.9078,36.3679,685.8608,27.9753,4.1963,109.1036,143.1402,1
23.8405,5.635,0,328.9987,4.7681,17.3385,625.9211,3.9012,1
793.1819,17.7157,7.2473,786.3371,267.7492,359.9516,133.6733,4.4289,1
2288.5835,7012.1564,16.9133,160.6765,5.814,3178.6469,9.5137,1.5856,1
783.7808,9.8028,0.4456,1077.8657,0,14.7042,8.0205,0,1
905.0114,25011.4201,5.9116,152.0892,18.8096,14.5103,10.2109,255.2734,1
1895.1361,302.9897,36.1446,559.1254,128.9603,149.4868,4.9085,13.3869,1
50627.0023,7081.6171,32.7994,27.46,189.9314,799.3898,43.4783,165.5225,1
51.2931,8787.5,10.7759,2098.7069,265.0862,938.7931,21.1207,13.3621,1
364.0842,1199.2835,77.9221,250.7837,6.2696,30.9001,40.3045,2.2391,1
1338.3318,51347.2352,14.9953,32.8022,39.8313,1609.1846,0.4686,1.8744,1
2611.1787,557.8307,23.4643,649.0315,76.591,11.5108,62.4239,7.969,1
5237.4491,101658.7517,2.0353,504.749,205.5631,119.403,27.8155,4.0706,1
1543.9215,313.6169,9.0612,2377.5485,3808.7088,242.6378,14.0951,15.6053,1
2923.6032,94.0707,41.6192,1557.0125,78.1072,9.122,17.6739,258.2668,1
